date,team1,team2,time,vanu
5/01/2019,Rangpur Riders,Chittagong Vikings,12:00 PM,Dhaka
5/01/2019,Dhaka Dynamites,Rajshahi Kings,4:50 PM,Dhaka
6/01/2019,Comilla Victorians,Sylhet Sixers,12:00 PM,Dhaka
6/01/2019,Khulna Titans,Rangpur Riders,4:50 PM,Dhaka
8/01/2019,Dhaka Dynamites,Khulna Titans,12:00 PM,Dhaka
8/01/2019,Comilla Victorians,Rangpur Riders,4:50 PM,Dhaka
9/01/2019,Sylhet Sixers,Chittagong Vikings,12:00 PM,Dhaka
9/01/2019,Khulna Titans,Rajshahi Kings,4:50 PM,Dhaka
11/01/2019,Dhaka Dynamites,Rangpur Riders,1:30 PM,Dhaka
11/01/2019,Comilla Victorians,Rajshahi Kings,6:30 PM,Dhaka
12/01/2019,Chittagong Vikings,Khulna Titans,12:00 PM,Dhaka
12/01/2019,Dhaka Dynamites,Sylhet Sixers,4:50 PM,Dhaka
13/01/2019,Rangpur Riders,Rajshahi Kings,12:00 PM,Dhaka
13/01/2019,Chittagong Vikings,Comilla Victorians,4:50 PM,Dhaka
15/01/2019,Khulna Titans,Rajshahi Kings,12:00 PM,Sylhet
15/01/2019,Sylhet Sixers,Comilla Victorians,4:50 PM,Sylhet
16/01/2019,Dhaka Dynamites,Rajshahi Kings,12:00 PM,Sylhet
16/01/2019,Sylhet Sixers,Rangpur Riders,4:50 PM,Sylhet
18/01/2019,Sylhet Sixers,Dhaka Dynamites,1:30 PM,Sylhet
18/01/2019,Khulna Titans,Comilla Victorians,6:30 PM,Sylhet
19/01/2019,Sylhet Sixers,Rangpur Riders,12:00 PM,Sylhet
19/01/2019,Chittagong Vikings,Khulna Titans,4:50 PM,Sylhet
21/01/2019,Comilla Victorians,Rajshahi Kings,12:00 PM,Dhaka
21/01/2019,Dhaka Dynamites,Chittagong Vikings,4:50 PM,Dhaka
22/01/2019,Khulna Titans,Rangpur Riders,12:00 PM,Dhaka
22/01/2019,Dhaka Dynamites,Comilla Victorians,4:50 PM,Dhaka
23/01/2019,Chittagong Vikings,Rajshahi Kings,12:00 PM,Dhaka
23/01/2019,Khulna Titans,Sylhet Sixers,4:50 PM,Dhaka
25/01/2019,Sylhet Sixers,Rajshahi Kings,1:30 PM,Chittagong
25/01/2019,Chittagong Vikings,Rangpur Riders,6:30 PM,Chittagong
26/01/2019,Sylhet Sixers,Khulna Titans,12:00 PM,Chittagong
26/01/2019,Chittagong Vikings,Rajshahi Kings,4:50 PM,Chittagong
28/01/2019,Khulna Titans,Comilla Victorians,12:00 PM,Chittagong
28/01/2019,Dhaka Dynamites,Rangpur Riders,4:50 PM,Chittagong
29/01/2019,Chittagong Vikings,Comilla Victorians,12:00 PM,Chittagong
29/01/2019,Rangpur Riders,Rajshahi Kings,4:50 PM,Chittagong
30/01/2019,Chittagong Vikings,Dhaka Dynamites,12:00 PM,Chittagong
30/01/2019,Sylhet Sixers,Rajshahi Kings,4:50 PM,Chittagong
1/02/2019,Dhaka Dynamites,Comilla Victorians,1:30 PM,Dhaka
1/02/2019,Chittagong Vikings,Sylhet Sixers,6:30 PM,Dhaka
2/02/2019,Comilla Victorians,Rangpur Riders,12:00 PM,Dhaka
2/02/2019,Dhaka Dynamites,Khulna Titans,4:50 PM,Dhaka
4/02/2019,TBC,TBC, Eliminator,12:00 PM,Dhaka
4/02/2019,TBC,TBC, Qualifier 1,4:50 PM,Dhaka
6/02/2019,TBC,TBC, Qualifier 2,4:50 PM,Dhaka
8/02/2019,TBC,TBC, Final,6:30 PM,Dhaka